[2026-02-26T10:10:20.949046] 数据桥接服务启动
扫描目录: /root/.openclaw/agents/main/sessions/
输出目录: /root/.openclaw/workspace/agent-dashboard-public/data/
[2026-02-26T10:10:20.950163] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:23.951830] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:26.953032] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:29.954211] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:32.955376] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:35.956658] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:38.957833] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:41.958948] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:44.960085] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:47.961211] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:50.962358] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:53.963528] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:56.964696] 更新完成: 22 sessions, 0 active
[2026-02-26T10:10:59.965839] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:02.966979] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:05.968123] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:08.969281] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:11.970442] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:14.971613] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:17.972781] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:20.973925] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:23.975573] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:26.976709] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:29.977875] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:32.979028] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:35.980203] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:38.981323] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:41.982466] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:44.983596] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:47.984732] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:50.985847] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:53.986959] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:56.988074] 更新完成: 22 sessions, 0 active
[2026-02-26T10:11:59.989335] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:02.990508] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:05.991627] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:08.992777] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:11.993910] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:14.995071] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:17.996192] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:20.997308] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:23.998418] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:26.999562] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:30.000680] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:33.001793] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:36.002905] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:39.004003] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:42.005118] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:45.006356] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:48.007476] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:51.008603] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:54.009736] 更新完成: 22 sessions, 0 active
[2026-02-26T10:12:57.010874] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:00.012574] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:03.016672] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:06.018466] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:09.020144] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:12.021344] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:15.022463] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:18.023568] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:21.024660] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:24.026907] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:27.028074] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:30.029179] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:33.032810] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:36.034510] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:39.035631] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:42.036713] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:45.038291] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:48.040814] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:51.041918] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:54.043011] 更新完成: 22 sessions, 0 active
[2026-02-26T10:13:57.044214] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:00.045381] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:03.046484] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:06.047614] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:09.048727] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:12.049868] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:15.051010] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:18.052131] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:21.053200] 更新完成: 22 sessions, 0 active
